Emp ID,First Name,Last Name,Gender,Month Name of Joining,Age in Company,Salary,Phone No. ,Place Name
533952,Kelly,Adams,F,July,4.07,51878,405-418-0037,Meno
623929,Jimmy,Howard,M,December,9.63,120631,212-855-9316,Oriskany
844177,Margaret,Allen,F,May,4.2,180107,216-697-6987,Richmond Dale
212893,Janet,Henderson,F,December,4.61,114481,239-769-6347,Miami
185032,Eugene,Perez,M,December,2.64,122950,262-472-7112,Racine
867084,Deborah,Smith,F,March,15.41,52767,907-279-8694,Atqasuk
969964,Janice,Parker,F,August,0.93,147641,314-842-5984,Whiteman Air Force Base
158666,Rebecca,Stewart,F,April,34.32,160043,209-233-7631,Independence
489424,Phillip,White,M,January,1.56,181774,503-668-6592,Mapleton
639892,Jose,Hill,M,July,1.05,129774,228-245-5000,Biloxi
704709,Harold,Nelson,M,August,5.93,156194,217-555-9216,Carol Stream
461593,Nicole,Ward,F,January,28.53,95673,231-761-7861,Detroit
392491,Theresa,Murphy,F,August,6.99,51015,907-356-1555,Mc Grath
495141,Tammy,Young,F,April,2.26,93650,231-290-3075,Alma
